hip_flex,hip_abd,hip_rot,knee_flex,ankle_flex,ankle_sub,watts,rpm,mass,grf_x,grf_y,grf_z,hip_flex_moment,hip_abd_moment,hip_rot_moment,knee_flex_moment,ankle_flex_moment,subtalar_moment
0.266372485,-0.135203612,-0.053055604,0.417854885,-0.151923496,-0.023940603,0.600735294,0.9,0.843137255,23.14861399,238.6302958,-2.747880396,-84.23603675,-9.012841284,11.32583232,-50.96899142,-28.50507165,3.803658924
0.263376432,-0.136118317,-0.052650482,0.421610556,-0.153882521,-0.023416789,0.600735294,0.9,0.843137255,21.96253288,233.4290725,-3.723903019,-82.4461273,-8.711151593,11.31429156,-50.20111247,-27.82494097,3.51155497
0.260658312,-0.136742904,-0.052372845,0.426023867,-0.155674945,-0.022792277,0.600735294,0.9,0.843137255,20.91161513,227.4384403,-4.694828994,-80.22359807,-8.655176482,11.34993531,-49.14659092,-27.01336571,3.191018534
0.258392867,-0.136973137,-0.052367633,0.431008959,-0.157285062,-0.022257549,0.600735294,0.9,0.843137255,20.05172121,220.5942998,-5.62590535,-77.47460221,-8.843712692,11.41949107,-47.77611553,-26.06787359,2.851264852
0.25756947,-0.137179642,-0.051904101,0.436974675,-0.158734252,-0.022128176,0.600735294,0.9,0.843137255,19.42974842,212.8981699,-6.48854157,-74.24501562,-9.22432199,11.50490276,-46.12074071,-25.0203854,2.51212923
0.258814155,-0.137630047,-0.05046106,0.444227213,-0.160057365,-0.022618884,0.600735294,0.9,0.843137255,19.07182114,204.4047991,-7.26651257,-70.57697434,-9.749572786,11.58970197,-44.21101922,-23.900643,2.190236814
0.261157946,-0.138097418,-0.048507809,0.452576135,-0.161336697,-0.02351926,0.600735294,0.9,0.843137255,18.99428611,195.2432779,-7.9516098,-66.47335531,-10.4009705,11.66460293,-42.06499874,-22.72369113,1.887525148
0.263278357,-0.138243461,-0.046738504,0.461712848,-0.162660485,-0.024520427,0.600735294,0.9,0.843137255,19.20670425,185.6411146,-8.53520829,-61.92907736,-11.16662211,11.72217378,-39.69860226,-21.50113975,1.602301409
0.264893568,-0.138012347,-0.045323595,0.47146676,-0.163980778,-0.025493374,0.600735294,0.9,0.843137255,19.69021022,175.9214741,-9.01269758,-56.98176185,-12.02008313,11.75632159,-37.15078885,-20.25010814,1.333828052
0.266762424,-0.137630711,-0.043909827,0.481805289,-0.165113447,-0.026488954,0.600735294,0.9,0.843137255,20.36874311,166.421189,-9.38631919,-51.71173267,-12.92035754,11.76229241,-34.48355367,-18.99322479,1.08232281
0.269555668,-0.137317316,-0.042159105,0.492705885,-0.165902963,-0.027504271,0.600735294,0.9,0.843137255,21.10626739,157.4309087,-9.6743652,-46.25626009,-13.82854736,11.74202285,-31.78185878,-17.7619876,0.848822006
0.273410651,-0.13721031,-0.039885054,0.504162147,-0.1663319,-0.028290144,0.600735294,0.9,0.843137255,21.77787677,149.183214,-9.90493388,-40.97297327,-14.71667735,11.72397891,-29.21852752,-16.6224138,0.637470183
0.278325342,-0.137417298,-0.036948064,0.516171466,-0.166414435,-0.028545843,0.600735294,0.9,0.843137255,22.31606523,141.917529,-10.0982717,-36.265511,-15.55941388,11.742332,-26.98382325,-15.64736818,0.453034584
0.284158949,-0.137807039,-0.033411669,0.528725669,-0.166097569,-0.028201069,0.600735294,0.9,0.843137255,22.71277825,135.8740371,-10.26244735,-32.32866983,-16.32937409,11.80993355,-25.16392746,-14.8687234,0.296732207
0.290631924,-0.138009438,-0.029542552,0.541811021,-0.165261122,-0.027415957,0.600735294,0.9,0.843137255,22.98283127,131.2344909,-10.40216894,-29.14840407,-16.99712589,11.91831505,-23.74093972,-14.27735999,0.16622981
0.29746794,-0.137751344,-0.025626023,0.555372665,-0.163914376,-0.026412361,0.600735294,0.9,0.843137255,23.13015468,128.0765351,-10.52219306,-26.71730739,-17.53741894,12.06122082,-22.70004876,-13.86372689,0.058645439
0.304427704,-0.137188913,-0.021986572,0.569192231,-0.162596133,-0.025618939,0.600735294,0.9,0.843137255,23.13876473,126.3512085,-10.63017453,-25.09085126,-17.94208618,12.2449543,-22.05690096,-13.62367573,-0.030480277
0.311294819,-0.136577904,-0.018938069,0.583019019,-0.16195344,-0.025489223,0.600735294,0.9,0.843137255,23.00937974,125.903255,-10.73479758,-24.33466618,-18.20708179,12.47820104,-21.8321358,-13.55348863,-0.105951579
0.318166648,-0.135996458,-0.016324819,0.596798981,-0.162078268,-0.025859832,0.600735294,0.9,0.843137255,22.7667181,126.5054046,-10.83977694,-24.38649277,-18.32491864,12.75222051,-21.98610148,-13.62828401,-0.17143449
0.325454306,-0.135345092,-0.013521562,0.61067472,-0.162507504,-0.025950461,0.600735294,0.9,0.843137255,22.46013024,127.8696271,-10.94682932,-25.05618174,-18.28466836,13.04084605,-22.41885497,-13.80201653,-0.22945682
0.333467702,-0.134553969,-0.010092488,0.624754913,-0.16293747,-0.025239553,0.600735294,0.9,0.843137255,22.15674762,129.6722729,-11.05761084,-26.15219583,-18.07610898,13.31733311,-23.02730656,-14.02922207,-0.282663363
0.342057339,-0.133702733,-0.006441263,0.638978325,-0.163798748,-0.024347804,0.600735294,0.9,0.843137255,21.95286672,131.5879329,-11.17418531,-27.49968748,-17.69244273,13.5556561,-23.70626528,-14.27044206,-0.334364812
0.350964964,-0.132903881,-0.003157531,0.653242042,-0.165674827,-0.024141144,0.600735294,0.9,0.843137255,21.94896468,133.3048121,-11.29348994,-28.92744623,-17.12801009,13.73003796,-24.35009553,-14.48767139,-0.387985174
0.360072504,-0.13216611,-0.0002814,0.667461456,-0.168444062,-0.024557809,0.600735294,0.9,0.843137255,22.21721299,134.5340543,-11.40997688,-30.25194918,-16.38364235,13.81628443,-24.85501845,-14.64180342,-0.445725838
0.369402064,-0.131394318,0.002696547,0.681570269,-0.17127967,-0.02460834,0.600735294,0.9,0.843137255,22.7620632,134.9987595,-11.51433679,-31.27736105,-15.46666168,13.79178399,-25.11911185,-14.69262996,-0.50856557
0.37898378,-0.130531225,0.00613898,0.695515408,-0.173585358,-0.023605226,0.600735294,0.9,0.843137255,23.5374716,134.4624033,-11.59295176,-31.83944066,-14.38679255,13.63733044,-25.06156413,-14.60705232,-0.575815339
0.388855529,-0.129688899,0.009725987,0.709293514,-0.175809407,-0.022230071,0.600735294,0.9,0.843137255,24.46073385,132.7813949,-11.63016251,-31.9024646,-13.16223994,13.34706363,-24.68568309,-14.38060145,-0.640327545
0.399053948,-0.129015879,0.012986133,0.722913994,-0.178636363,-0.021466679,0.600735294,0.9,0.843137255,25.44101986,129.9165247,-11.60845776,-31.46543412,-11.81379946,12.91910615,-24.01629844,-14.01653788,-0.693515138
0.409542623,-0.128525712,0.015887699,0.736394041,-0.182178486,-0.021376904,0.600735294,0.9,0.843137255,26.4013688,125.9522037,-11.51597456,-30.58704043,-10.373088,12.36644425,-23.08955721,-13.53128256,-0.730820551
0.420212093,-0.12809696,0.018838685,0.749758636,-0.185975751,-0.021100657,0.600735294,0.9,0.843137255,27.30661112,121.0823603,-11.34339416,-29.38566465,-8.88254375,11.71692788,-21.95292371,-12.95441684,-0.7517157
0.430983624,-0.127634273,0.022125925,0.762984804,-0.189661161,-0.020044762,0.600735294,0.9,0.843137255,28.16501851,115.5912206,-11.08775424,-27.97266664,-7.382963415,10.99653349,-20.65023073,-12.31426772,-0.756018645
0.441914104,-0.127170129,0.025475136,0.775856379,-0.193339346,-0.018844021,0.600735294,0.9,0.843137255,29.00800622,109.7863118,-10.7540863,-26.42094033,-5.906695861,10.22115868,-19.20881683,-11.63185605,-0.74423125
0.453083984,-0.126763421,0.028490758,0.788114728,-0.197213864,-0.018395276,0.600735294,0.9,0.843137255,29.84767091,103.9541303,-10.36113372,-24.79626891,-4.484618628,9.405209942,-17.65371293,-10.92676924,-0.71721478
0.464335757,-0.12634553,0.031214397,0.799635205,-0.201051603,-0.018561267,0.600735294,0.9,0.843137255,30.65961834,98.29530728,-9.93494454,-23.22206799,-3.162343872,8.586751979,-16.05171644,-10.22763602,-0.680164825
0.475273966,-0.125720331,0.034124829,0.810427154,-0.20418279,-0.018170641,0.600735294,0.9,0.843137255,31.40360289,92.93496609,-9.50823257,-21.87938557,-2.00021837,7.82750767,-14.5113913,-9.57212651,-0.6426113
0.485643905,-0.124764212,0.037505868,0.820511838,-0.206193209,-0.01645606,0.600735294,0.9,0.843137255,32.04705741,87.90827178,-9.10916083,-20.90549761,-1.049172362,7.176457419,-13.11702548,-8.989001123,-0.61251487
0.495795263,-0.123665817,0.040785473,0.829934879,-0.207766822,-0.014446093,0.600735294,0.9,0.843137255,32.5731343,83.20971714,-8.75189117,-20.25256883,-0.3199074,6.627497238,-11.84853936,-8.469809219,-0.590805411
0.506207789,-0.122681349,0.043216963,0.838746638,-0.209822041,-0.013555407,0.600735294,0.9,0.843137255,32.98274558,78.80506408,-8.43433702,-19.82682012,0.18710344,6.160764281,-10.6599833,-7.996786863,-0.576627206
0.516877329,-0.121825567,0.044958078,0.846966359,-0.212355106,-0.013752454,0.600735294,0.9,0.843137255,33.27643516,74.64191443,-8.13756159,-19.54215426,0.475327065,5.756677195,-9.510511241,-7.551928183,-0.568483027
0.527315829,-0.120871777,0.047070983,0.854582166,-0.214440085,-0.013559473,0.600735294,0.9,0.843137255,33.44027994,70.61593199,-7.84517446,-19.3201559,0.55217036,5.39593612,-8.36438068,-7.11698537,-0.56423413
0.537148599,-0.119646815,0.050200034,0.861576657,-0.215363556,-0.011921185,0.600735294,0.9,0.843137255,33.45882995,66.62070681,-7.55492937,-19.10574727,0.424552938,5.06486801,-7.193205161,-6.678056019,-0.562720297
0.546538577,-0.118233611,0.053161067,0.867915729,-0.215422506,-0.009723759,0.600735294,0.9,0.843137255,33.35038039,62.57452163,-7.27679288,-18.93586496,0.096760104,4.772258123,-5.997134842,-6.238661432,-0.566806978
0.555776844,-0.116775987,0.054399717,0.873566316,-0.215148991,-0.008284453,0.600735294,0.9,0.843137255,33.16821742,58.44732631,-7.02014138,-18.86861438,-0.426866585,4.532009233,-4.782954069,-5.806398866,-0.58029717
0.565010455,-0.11534563,0.05436105,0.87861521,-0.21467172,-0.007672171,0.600735294,0.9,0.843137255,32.98178742,54.25873969,-6.79735823,-18.91990192,-1.125544477,4.346591811,-3.545947957,-5.382426179,-0.605409815
0.574242434,-0.113942097,0.05548956,0.883269065,-0.213716062,-0.006707469,0.600735294,0.9,0.843137255,32.86108881,50.06058155,-6.6148542,-19.06343491,-1.96204983,4.20704402,-2.26990239,-4.96146183,-0.6427798
0.583393863,-0.11256292,0.059424636,0.887626509,-0.212121817,-0.004574196,0.600735294,0.9,0.843137255,32.8754379,45.9277524,-6.47474728,-19.28052014,-2.896945647,4.102387814,-0.943296572,-4.540671273,-0.692057329
0.59208308,-0.111210094,0.064237514,0.891333226,-0.210256668,-0.002126484,0.600735294,0.9,0.843137255,33.0933019,41.98763371,-6.37116703,-19.59020126,-3.884801251,4.015568541,0.424617148,-4.128127836,-0.749229357
0.599866706,-0.109889701,0.067202031,0.893935261,-0.208606071,-0.000594037,0.600735294,0.9,0.843137255,33.59735811,38.40028187,-6.29057164,-20.02195383,-4.878917518,3.927980277,1.81802676,-3.734972312,-0.809237413
0.606622534,-0.108676247,0.067768663,0.89529128,-0.207328894,-0.000240594,0.600735294,0.9,0.843137255,34.46928464,35.31684541,-6.20741647,-20.62820101,-5.837884728,3.820278374,3.189693674,-3.380176915,-0.864041916
0.61254953,-0.107712662,0.067564532,0.895572579,-0.206257424,-0.00036393,0.600735294,0.9,0.843137255,35.75457538,32.84837902,-6.09500468,-21.48431353,-6.72558257,3.67237946,4.46095272,-3.09054528,-0.90262218
0.617827527,-0.107094694,0.06797224,0.894941421,-0.205231027,-0.000363804,0.600735294,0.9,0.843137255,37.45210954,31.02739459,-5.92638845,-22.63707402,-7.507863554,3.465435898,5.567147071,-2.886201049,-0.915484186
0.622503973,-0.106717481,0.069017769,0.893469567,-0.204174189,-0.000215888,0.600735294,0.9,0.843137255,39.51538337,29.83262576,-5.6840414,-24.01492191,-8.157551583,3.185671457,6.505118769,-2.759185917,-0.899759052
0.626593216,-0.106426003,0.070387949,0.891206154,-0.203032675,-3.98E-05,0.600735294,0.9,0.843137255,41.87809253,29.18732644,-5.36102739,-25.5167108,-8.64921341,2.820577762,7.287084572,-2.69452109,-0.854234179
0.630109607,-0.106065244,0.071769608,0.88820032,-0.201752249,4.47E-05,0.600735294,0.9,0.843137255,44.46525662,28.98799446,-4.954621479,-27.04129432,-8.957415785,2.357646435,7.925261236,-2.677227776,-0.777696968
0.633067497,-0.105480186,0.072849574,0.884501202,-0.200278677,-8.19E-05,0.600735294,0.9,0.843137255,47.19617611,29.14903779,-4.458952996,-28.48752607,-9.05672546,1.7843691,8.43186552,-2.69232718,-0.66893482
